cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total
São Luís,292,4,2,4,13,0,0,3829,999,806,36,5670
Contagem,455,5,1,1,7,0,1,3309,1097,735,46,5187
Joinville,60,2,3,0,10,1,0,1923,5258,854,190,8225
Santo André,492,4,3,3,15,1,0,1553,9530,902,98,12083
Niterói,358,4,3,4,0,0,1,1407,2216,967,167,4757
Maringá,281,1,4,3,17,0,0,64,1164,202,113,1543
São Luís,101,4,1,3,9,0,0,2205,1893,1,146,4245
Vitória,231,5,3,2,11,0,1,3235,746,1273,122,5376
Santo André,485,3,1,0,14,0,1,653,4455,1527,45,6680
Londrina,436,3,1,3,18,0,1,4303,2392,1668,174,8537
Brasília,349,3,3,0,7,1,1,2091,1882,562,120,4655
Maceió,314,5,2,1,6,0,1,60,5482,925,100,6567
Belém,103,2,4,1,5,0,0,4091,5533,1081,147,10852
Barueri,89,2,1,1,10,0,1,260,8799,1538,89,10686
Porto Velho,197,1,1,1,7,1,0,3821,7415,1243,45,12524
Goiânia,412,2,1,1,18,0,0,3568,7689,1097,80,12434
Guarulhos,63,2,3,3,3,1,1,4144,588,1790,153,6675
Vila Velha,183,3,4,1,7,1,1,177,2563,1667,162,4569
Brasília,449,4,2,1,8,0,1,1435,7061,899,66,9461
São José dos Campos,257,1,1,4,17,1,0,956,6565,842,62,8425
Maceió,456,5,2,0,9,0,1,439,4885,1907,50,7281
Florianópolis,105,4,2,4,13,0,0,4438,4484,896,87,9905
Montes Claros,86,2,2,1,14,0,1,2937,6542,1101,161,10741
Joinville,258,1,3,3,8,1,1,2964,3592,1391,86,8033
Contagem,316,1,4,0,7,0,0,1762,2056,1478,107,5403
Caxias do Sul,322,3,4,4,14,1,0,4982,1083,1261,157,7483
Santo André,442,2,4,4,8,1,0,1391,5963,1000,35,8389
Natal,298,5,2,3,0,0,1,182,9104,991,135,10412
Duque de Caxias,258,1,4,3,16,1,0,3937,3069,1041,173,8220
Maringá,135,2,3,1,0,1,0,4927,3106,1352,23,9408
Salvador,134,4,2,2,10,0,0,2430,8512,294,21,11257
Caxias do Sul,157,1,3,4,7,0,1,2689,1300,101,167,4257
Sorocaba,128,3,4,4,16,1,1,4892,5593,607,61,11153
Niterói,417,2,1,3,2,0,1,1014,2073,141,134,3362
Campinas,53,5,1,2,8,1,0,3630,7044,344,69,11087
Campo Grande,422,3,1,3,1,0,0,151,2453,968,39,3611
Contagem,452,4,1,2,8,1,0,480,5164,1149,52,6845
Porto Alegre,403,3,1,3,8,0,0,4496,1409,154,152,6211
Piracicaba,149,3,1,0,9,1,0,457,5787,282,165,6691
Macapá,264,3,4,2,7,1,0,811,3758,438,131,5138
Aparecida de Goiânia,408,3,4,1,1,0,1,1673,6738,1291,73,9775
Aracaju,373,3,1,0,7,1,1,4224,864,1140,104,6332
Florianópolis,480,4,2,2,0,0,0,144,2971,1260,181,4556
Feira de Santana,497,4,2,0,13,1,1,2391,5698,1419,147,9655
Feira de Santana,107,1,4,3,5,1,0,2933,9452,262,32,12679
Jundiaí,113,2,1,2,17,1,1,3017,7570,1037,91,11715
Campo Grande,253,4,3,4,16,1,0,2929,9048,355,183,12515
Joinville,213,1,2,3,15,1,1,73,6060,883,141,7157
Montes Claros,121,2,2,4,12,0,0,465,3016,705,163,4349
Vitória,352,4,2,0,18,0,0,2522,3317,1287,155,7281
Salvador,94,3,4,0,7,1,1,2007,4676,621,67,7371
Londrina,88,2,3,2,10,0,1,832,1046,709,81,2668
Montes Claros,314,5,1,2,13,1,0,3728,2270,849,138,6985
Montes Claros,471,3,1,4,8,1,1,3278,5265,1664,44,10251
Boa Vista,203,5,3,4,19,0,1,4635,6444,533,146,11758
Florianópolis,408,4,4,3,18,0,0,718,8172,1380,131,10401
Goiânia,172,3,4,3,7,1,0,3131,8747,637,158,12673
Caxias do Sul,370,4,4,1,8,0,0,1843,4474,1117,95,7529
Curitiba,379,1,1,1,5,1,0,3594,697,382,12,4685
Niterói,296,3,3,0,17,0,1,4087,981,503,62,5633
Londrina,261,3,4,1,10,0,0,3630,7678,1067,66,12441
Campo Grande,210,4,3,0,16,0,1,3489,8730,1927,135,14281
Montes Claros,200,3,1,4,18,0,1,1403,9130,1961,100,12594
Mogi das Cruzes,96,1,4,4,11,0,0,4300,8535,774,127,13736
Goiânia,180,2,1,1,8,1,1,4763,1926,1600,13,8302
Feira de Santana,457,1,2,3,9,0,0,142,514,1191,154,2001
Ananindeua,306,2,2,3,16,1,1,2279,1928,1294,123,5624
Londrina,339,2,4,3,4,1,1,874,2516,1495,39,4924
Mogi das Cruzes,328,1,4,1,17,1,0,695,1067,1091,144,2997
Manaus,467,4,3,1,14,0,0,630,5431,751,15,6827
Barueri,327,5,1,2,5,0,0,2756,3971,347,14,7088
Uberlândia,404,4,2,3,3,1,0,4883,5468,1985,76,12412
Jundiaí,109,1,4,4,3,0,1,4036,7059,1738,96,12929
Osasco,182,3,1,3,9,0,0,2447,3568,1004,149,7168
Serra,71,2,2,1,0,1,0,4891,2896,365,145,8297
Jaboatão dos Guararapes,465,3,4,2,17,1,0,689,971,834,36,2530
Florianópolis,245,1,2,2,19,0,0,3496,9795,345,27,13663
Boa Vista,390,5,1,2,6,0,1,1311,7957,814,102,10184
Piracicaba,251,2,1,3,6,0,1,143,7877,1182,128,9330
Jundiaí,48,4,4,3,18,1,1,2024,6536,544,179,9283
Mogi das Cruzes,76,1,1,4,0,1,1,4025,8214,720,183,13142
Niterói,391,3,3,0,7,1,1,3893,7087,329,36,11345
Betim,288,2,4,4,17,0,0,4743,6982,1203,94,13022
Piracicaba,192,4,4,0,0,0,0,1103,1476,1804,196,4579
Osasco,157,3,1,0,19,0,1,2746,6302,1874,16,10938
São Luís,257,1,3,2,7,0,1,3582,8178,1699,171,13630
João Pessoa,106,4,1,3,13,1,0,137,8538,505,78,9258
Osasco,96,4,3,1,7,1,0,40,2847,1021,69,3977
Londrina,418,3,2,3,9,0,1,3912,8598,1859,58,14427
Cuiabá,297,5,3,3,9,1,1,3801,3536,12,65,7414
Vila Velha,228,2,3,2,6,1,1,2852,9711,1561,36,14160
Feira de Santana,414,4,1,2,14,0,0,2756,554,276,13,3599
Fortaleza,117,5,2,4,17,0,1,333,8916,847,10,10106
Recife,34,1,2,4,13,0,0,3003,2277,1854,185,7319
Campo Grande,121,5,1,2,19,1,0,1505,1118,492,189,3304
São José dos Campos,60,3,3,1,10,0,1,1616,4319,1160,64,7159
São José dos Campos,336,4,1,3,0,1,0,2111,2102,507,50,4770
Joinville,21,2,4,3,14,0,1,4311,4570,1794,127,10802
Brasília,221,1,1,4,19,0,1,410,5204,821,54,6489
Maringá,27,4,4,2,8,1,0,2349,9345,1214,192,13100
Piracicaba,124,2,4,3,19,0,1,4096,2947,1083,48,8174
Vitória,479,1,3,3,7,1,0,4807,5730,406,102,11045
Montes Claros,427,4,1,2,11,1,0,4998,1044,451,85,6578
Brasília,203,3,3,0,1,1,1,451,3084,1,114,3650
Santo André,257,4,4,1,15,1,0,3054,911,1606,132,5703
Belém,487,1,4,1,16,1,0,2502,5640,654,124,8920
Niterói,435,1,3,4,8,0,1,2412,5984,317,153,8866
Mogi das Cruzes,441,2,1,4,4,0,0,10,3916,451,10,4387
Maringá,465,1,1,1,11,1,1,4760,4301,1583,138,10782
Porto Alegre,134,3,3,1,15,1,0,4797,9392,668,137,14994
Aparecida de Goiânia,79,3,3,0,4,1,1,943,2104,978,91,4116
Jundiaí,416,2,3,3,18,0,0,3970,1122,1501,159,6752
Feira de Santana,107,2,4,1,19,1,0,4528,4605,1819,135,11087
Duque de Caxias,230,5,2,4,6,0,1,2422,9732,1246,12,13412
Niterói,87,4,1,3,7,0,0,4293,9738,64,170,14265
Aracaju,313,1,2,1,10,0,0,4429,9502,945,10,14886
Betim,312,5,1,3,18,0,1,1964,8115,273,142,10494
Santo André,64,2,3,0,19,1,1,4749,5325,499,37,10610
Ribeirão Preto,298,5,4,1,6,1,1,3786,9501,716,155,14158
Niterói,113,4,1,1,11,1,1,2348,1093,1431,193,5065
Belém,255,2,1,3,10,0,0,3052,4228,1435,156,8871
Cuiabá,44,2,3,4,4,1,1,2009,2189,861,31,5090
Goiânia,177,1,4,0,14,1,1,1996,1643,1804,153,5596
Cuiabá,71,1,4,0,19,1,0,2484,7064,1945,133,11626
Fortaleza,218,5,4,0,3,0,0,1184,1022,1177,126,3509
Aparecida de Goiânia,38,2,4,0,10,0,1,4957,4908,1817,164,11846
Maceió,127,5,2,3,0,0,1,1540,2611,994,14,5159
São Paulo,195,1,2,1,16,0,0,2952,2580,1210,39,6781
Santo André,191,2,4,4,18,1,0,4532,1928,1801,55,8316
Londrina,271,5,3,3,13,0,1,1473,2018,1282,98,4871
Vila Velha,281,1,4,3,16,1,1,3808,7847,2,63,11720
Piracicaba,102,2,4,4,12,0,0,3079,8854,62,15,12010
Cuiabá,219,2,2,3,14,1,1,4184,5533,282,12,10011
Caxias do Sul,132,2,4,4,4,1,0,1611,3983,47,92,5733
Maceió,379,5,3,4,5,0,0,3692,2610,301,173,6776
Betim,292,3,1,4,9,1,1,4437,2288,1754,28,8507
Rio de Janeiro,53,2,3,0,0,0,0,2515,2547,972,62,6096
Feira de Santana,195,4,4,0,18,0,0,659,9286,1701,173,11819
Rio de Janeiro,124,1,1,3,19,0,1,2245,9185,245,175,11850
Ribeirão Preto,489,5,2,4,1,1,0,1012,3916,1384,68,6380
Santo André,341,1,3,0,13,0,0,3144,9157,1537,108,13946
Macapá,448,4,1,0,19,0,0,3068,4728,1709,148,9653
Cuiabá,483,1,2,1,0,1,0,715,4679,912,195,6501
Ribeirão Preto,242,5,2,1,13,0,0,605,920,1298,56,2879
Guarulhos,227,1,1,0,12,1,1,977,1756,1730,59,4522
Natal,56,4,2,4,19,0,0,2617,9029,1279,110,13035
Boa Vista,416,4,3,4,16,0,0,2023,2670,1383,171,6247
Contagem,359,3,2,2,18,0,1,2367,785,1827,186,5165
Fortaleza,65,5,2,3,12,0,1,100,1072,1900,145,3217
Macapá,398,1,2,2,13,0,0,997,3447,566,151,5161
João Pessoa,91,1,1,1,8,0,1,2807,3510,457,21,6795
Caxias do Sul,265,4,4,3,3,1,0,101,7195,667,93,8056
Porto Alegre,47,4,1,3,13,0,1,3825,8658,1252,158,13893
Cuiabá,333,1,2,2,4,0,1,2322,4916,1441,84,8763
Campinas,259,5,2,3,17,0,1,127,8539,313,29,9008
Vitória,427,3,1,3,8,0,0,4468,6222,662,23,11375
Natal,459,4,1,2,8,0,1,4503,4364,1401,98,10366
Caxias do Sul,75,1,4,4,19,0,0,557,3556,1762,15,5890
Duque de Caxias,79,1,1,2,0,1,0,3778,7774,279,177,12008
São Paulo,76,2,1,0,18,0,1,80,1458,431,173,2142
Uberlândia,315,2,3,3,9,1,0,2442,2087,1310,69,5908
Aparecida de Goiânia,120,3,1,0,17,1,0,2576,6945,1203,65,10789
São Luís,341,4,4,3,15,1,1,4725,7253,558,107,12643
Belo Horizonte,138,3,4,1,16,1,1,4999,7648,584,11,13242
Santo André,491,4,3,0,19,1,1,2018,4849,932,29,7828
Maringá,348,4,2,1,11,0,1,1317,8186,1219,66,10788
Ribeirão Preto,139,1,4,4,12,1,1,2754,9166,1208,166,13294
Salvador,145,4,3,2,7,1,1,851,603,297,69,1820
Ribeirão Preto,131,5,4,3,12,0,0,327,6050,1929,188,8494
Jundiaí,126,3,2,2,14,1,0,839,5826,1902,49,8616
São Luís,180,2,4,3,1,1,1,1488,2468,1882,38,5876
Brasília,73,1,4,4,3,1,1,3836,1010,1235,44,6125
Fortaleza,142,1,4,0,19,1,0,666,2916,625,113,4320
Porto Velho,272,1,4,0,13,0,1,3625,8132,186,47,11990
Belém,436,3,1,1,9,1,1,2261,5593,187,188,8229
Londrina,150,3,4,2,1,1,1,1169,3576,1629,60,6434
Londrina,350,3,3,2,11,0,0,3893,5712,1861,68,11534
Goiânia,396,1,4,1,18,0,0,3251,8748,1709,180,13888
Cuiabá,22,4,2,1,10,0,0,225,9631,823,53,10732
Joinville,481,4,2,1,11,1,1,3647,4658,230,74,8609
Vitória,62,1,3,1,6,1,1,2262,6433,6,175,8876
Boa Vista,53,4,2,0,4,1,1,4099,5321,1609,102,11131
Maringá,124,3,2,3,4,0,0,1026,9653,1518,78,12275
Osasco,120,4,2,1,1,1,1,3171,5861,333,40,9405
Rio de Janeiro,377,2,2,3,1,0,0,1389,2703,458,24,4574
Campinas,184,3,3,4,2,0,1,3879,4431,469,187,8966
Goiânia,181,5,1,3,9,1,1,296,2367,854,196,3713
Joinville,223,2,1,3,4,1,1,1593,5173,1090,199,8055
Teresina,246,5,1,4,6,0,1,2647,824,1082,42,4595
Boa Vista,341,5,1,3,1,1,1,183,1385,157,112,1837
Contagem,161,5,1,4,0,1,0,204,9875,401,43,10523
Betim,106,1,1,2,8,1,0,2187,1616,1291,175,5269
Teresina,280,1,4,0,18,1,0,4967,6705,799,133,12604
Teresina,99,3,3,3,14,1,1,2313,4481,333,64,7191
Curitiba,348,2,1,4,4,1,1,4630,4875,111,152,9768
Uberlândia,355,4,4,2,4,1,0,3859,3856,1868,28,9611
Ananindeua,258,5,4,4,18,0,1,400,9027,214,39,9680
Recife,337,1,4,0,5,1,0,3735,6854,1904,110,12603
Brasília,206,1,2,2,7,0,1,3569,8392,735,142,12838
Duque de Caxias,223,2,1,4,9,0,0,849,9380,355,60,10644
São Luís,418,1,4,1,13,0,1,1275,5210,1769,182,8436
Sorocaba,141,2,2,4,11,1,1,3892,701,1699,52,6344
Natal,99,4,3,0,9,0,1,339,5626,1509,100,7574
Belém,87,4,1,1,11,1,1,1189,4732,1387,136,7444
Maringá,222,1,3,1,19,0,1,737,5443,1503,164,7847
Curitiba,114,5,4,1,18,0,0,3795,5067,1699,180,10741
São Gonçalo,210,1,2,1,11,0,1,2141,4658,403,77,7279
São Paulo,186,4,3,3,11,1,0,2566,2546,888,115,6115
São Luís,257,1,3,4,4,1,0,3930,1894,1529,148,7501
Belo Horizonte,190,3,2,4,18,0,0,613,4148,857,173,5791
Feira de Santana,416,5,2,0,7,1,0,3581,5872,1303,29,10785
Jaboatão dos Guararapes,337,2,2,1,16,1,0,2532,4509,316,125,7482
Ananindeua,277,1,3,0,9,1,0,1783,7856,696,37,10372
Londrina,146,3,1,2,10,1,1,1757,6355,1655,123,9890
Recife,70,2,2,1,14,1,1,2516,7878,1772,191,12357
Contagem,255,3,1,4,16,1,1,4873,2593,1145,175,8786
João Pessoa,493,4,4,4,12,0,0,234,2830,1141,10,4215
Macapá,202,3,1,2,19,0,1,122,726,1688,117,2653
Barueri,194,3,3,2,8,0,1,3359,8547,1465,148,13519
Rio de Janeiro,460,2,3,4,16,1,1,1418,608,821,134,2981
Curitiba,157,5,3,2,5,0,1,1142,1452,106,65,2765
Salvador,297,3,2,4,16,0,1,1419,1083,1379,20,3901
Feira de Santana,110,5,4,3,1,0,1,4840,656,906,103,6505
Guarulhos,262,4,4,0,10,0,0,3244,9976,622,26,13868
Betim,482,2,2,2,15,1,0,4208,5498,439,185,10330
São Paulo,190,5,1,0,14,0,1,1661,2846,990,191,5688
Serra,217,2,4,3,14,0,1,1725,9630,1736,61,13152
Rio de Janeiro,256,1,3,4,8,0,0,248,7568,187,180,8183
Jaboatão dos Guararapes,128,3,1,4,5,1,0,1765,2502,348,131,4746
Macapá,250,4,1,2,6,1,0,3158,8882,1906,198,14144
Cuiabá,175,5,3,0,15,0,0,1876,6902,653,195,9626
Cuiabá,462,1,2,2,2,0,1,2411,2130,195,111,4847
Campinas,306,1,4,1,15,0,0,1406,8539,1385,91,11421
Contagem,272,4,2,0,13,0,0,2621,5418,924,135,9098
Serra,255,3,2,2,15,0,0,4796,2928,776,147,8647
Betim,434,4,4,2,14,0,1,3113,1243,1261,44,5661
Ananindeua,283,2,4,1,4,1,0,1971,3560,21,81,5633
São Paulo,355,5,2,4,13,0,0,1742,8174,101,12,10029
Montes Claros,318,1,1,3,11,1,0,2508,8172,1864,184,12728
São Gonçalo,438,5,1,2,5,1,0,4250,8762,1704,53,14769
São Paulo,73,2,3,3,0,1,0,4650,6548,1262,192,12652
Vitória,457,5,4,3,7,0,1,2052,7225,1539,152,10968
Florianópolis,482,3,1,2,11,0,0,4336,1640,143,50,6169
Ananindeua,34,1,2,3,1,1,0,383,1624,566,90,2663
Curitiba,309,1,1,2,10,1,0,1379,1714,1734,182,5009
Mogi das Cruzes,351,1,1,2,8,0,0,4185,3816,335,125,8461
Natal,445,1,3,3,3,0,1,901,7910,395,68,9274
Boa Vista,65,3,4,1,9,0,1,2065,1490,1060,54,4669
Aracaju,115,4,2,0,12,0,0,2545,8130,1898,150,12723
São Luís,51,5,4,3,7,0,0,3596,3256,237,81,7170
Macapá,302,3,2,4,13,1,1,1488,6303,1799,44,9634
Betim,46,3,2,1,11,1,1,360,5346,1551,91,7348
Barueri,265,3,3,4,2,0,1,2985,7057,1765,61,11868
Cuiabá,85,5,2,2,15,1,1,2172,1103,357,102,3734
Santo André,184,2,1,4,1,0,1,1737,6634,856,142,9369
Cuiabá,292,4,1,3,1,0,0,1309,5574,1431,117,8431
Vila Velha,357,3,4,1,2,1,1,2139,9344,1585,147,13215
Macapá,128,3,4,0,3,1,0,4674,4404,1948,72,11098
Cuiabá,36,1,4,1,8,1,0,4798,9831,46,90,14765
Piracicaba,169,1,1,1,7,1,0,3333,7003,1489,187,12012
Goiânia,157,5,1,4,6,0,1,3790,8378,1821,141,14130
Campo Grande,23,2,1,0,4,1,0,2121,1737,1218,166,5242
Caxias do Sul,62,1,1,2,0,0,0,2204,3179,1735,119,7237
Serra,469,4,3,0,1,0,0,123,5818,1991,179,8111
Osasco,217,1,3,1,4,1,0,351,1245,407,74,2077
Piracicaba,265,1,3,2,3,0,1,2175,3085,1548,10,6818
Piracicaba,40,1,2,2,2,1,0,4217,3223,74,11,7525
Porto Alegre,219,3,1,0,13,0,0,1087,7095,923,114,9219
Ribeirão Preto,310,3,2,3,10,1,0,1101,3210,464,113,4888
Joinville,40,4,1,4,13,0,1,4631,9077,1415,147,15270
Piracicaba,246,4,1,2,3,1,1,4126,5571,1151,161,11009
Barueri,242,1,4,2,0,0,0,2356,5768,803,116,9043
Maringá,362,2,3,4,5,1,0,631,7320,1458,99,9508
Londrina,260,4,2,1,7,1,0,4179,6090,317,64,10650
Campinas,50,2,1,2,0,1,0,2797,7114,302,71,10284
Florianópolis,300,4,4,4,15,1,0,4307,2841,1236,110,8494
Sorocaba,445,3,2,3,19,0,1,4531,6824,606,165,12126
Rio de Janeiro,60,5,4,2,12,1,1,4635,7216,433,11,12295
Campinas,132,3,1,4,13,0,1,4687,5377,182,158,10404
Curitiba,225,5,2,4,13,1,0,4799,9108,289,102,14298
Belém,309,1,1,1,18,1,1,4901,7065,1794,192,13952
Ribeirão Preto,455,3,2,1,2,0,1,942,5095,1744,48,7829
Manaus,281,5,4,3,12,0,1,2468,5194,1075,120,8857
Uberlândia,56,1,2,1,13,0,0,3971,2368,512,164,7015
São Luís,185,1,1,2,12,0,1,1757,6012,939,36,8744
Rio de Janeiro,71,1,4,0,7,1,0,4348,8757,407,107,13619
Joinville,103,4,1,2,9,1,1,4498,7477,66,167,12208
Vitória,475,2,3,4,18,0,1,224,678,183,189,1274
Aracaju,452,4,1,2,5,1,1,3036,987,1911,13,5947
Boa Vista,429,3,3,0,5,0,1,1004,4065,986,44,6099
São Paulo,45,5,4,4,2,1,1,2533,9636,141,179,12489
Campinas,121,3,2,1,12,1,1,144,7768,748,27,8687
Goiânia,271,2,4,1,14,1,1,3574,9817,653,180,14224
Belém,168,3,1,2,6,0,1,1710,6344,1937,153,10144
Aparecida de Goiânia,67,5,2,2,9,0,0,2731,1193,586,166,4676
Curitiba,421,4,1,0,1,1,1,371,8890,610,18,9889
Campinas,395,3,1,0,2,1,1,461,4243,224,93,5021
João Pessoa,180,2,1,1,6,1,1,1038,5479,1291,15,7823
Londrina,38,4,2,1,9,0,0,4111,8401,1102,125,13739
São Luís,216,4,1,0,12,0,1,231,5579,822,42,6674
Feira de Santana,60,4,2,3,14,1,0,2566,1872,972,155,5565
Joinville,437,5,1,4,0,1,0,1319,6567,1271,104,9261
Mogi das Cruzes,402,5,1,1,12,0,1,2575,2682,1517,61,6835
Brasília,82,2,1,0,13,1,1,961,4557,1588,89,7195
Porto Velho,239,5,1,0,15,0,1,3462,8563,1360,27,13412
Salvador,436,3,1,4,15,0,0,1144,7938,1736,48,10866
Santo André,478,1,2,2,18,0,1,1783,609,752,55,3199
Campo Grande,436,2,2,2,8,0,1,1716,7856,4,80,9656
Guarulhos,174,5,2,4,19,0,0,2376,8125,602,156,11259
Aparecida de Goiânia,492,4,2,3,6,0,0,955,7027,1370,166,9518
Sorocaba,67,3,4,0,5,0,1,2889,1155,1110,84,5238
Campo Grande,454,5,4,1,13,1,0,4623,5489,1729,146,11987
Porto Alegre,308,4,3,1,12,1,0,4919,2685,366,83,8053
Belém,277,2,2,0,1,1,1,3556,3440,582,175,7753
Curitiba,475,4,2,2,10,0,0,3209,9325,790,136,13460
Porto Alegre,329,1,2,3,15,0,0,2873,8818,1599,59,13349
Niterói,155,2,1,2,4,1,0,442,1902,672,26,3042
Duque de Caxias,68,4,2,2,17,0,0,2384,2056,156,146,4742
Aracaju,41,4,3,3,13,0,0,4940,7688,820,86,13534
Aracaju,420,2,2,1,0,1,0,3101,4639,1497,168,9405
João Pessoa,492,1,3,4,2,1,1,3164,2456,187,121,5928
Ananindeua,416,3,3,4,4,1,1,2668,3886,966,73,7593
Niterói,35,2,4,1,17,1,0,4344,6618,1688,197,12847
Macapá,288,2,3,1,8,1,1,2743,1127,1824,30,5724
Porto Alegre,179,4,4,0,16,0,0,3242,8312,499,124,12177
Contagem,250,3,1,3,0,1,1,529,7316,1912,113,9870
Rio de Janeiro,199,4,2,2,16,1,1,2969,4278,10,85,7342
Piracicaba,306,4,4,4,10,0,0,1658,6382,1683,179,9902
Natal,143,1,1,2,0,0,0,3097,899,1299,194,5489
Porto Alegre,409,1,3,4,5,0,1,1825,2122,745,80,4772
Piracicaba,321,3,1,0,2,1,1,3539,1070,1863,26,6498
Betim,140,4,4,0,1,0,0,3139,7028,1277,14,11458
Osasco,145,3,1,4,10,1,0,3178,6505,508,79,10270
Vila Velha,201,3,4,4,2,1,0,1086,8903,1146,75,11210
Santo André,448,1,1,3,14,0,0,4657,9391,1448,196,15692
Niterói,235,4,4,1,3,0,1,4568,926,1592,192,7278
Londrina,179,2,3,4,14,1,1,2020,3988,1331,102,7441
Joinville,407,4,1,2,2,0,1,4208,3386,1395,132,9121
Fortaleza,156,4,4,4,0,0,0,3998,6865,108,43,11014
Barueri,389,3,3,0,11,0,1,1502,8572,271,118,10463
Contagem,155,4,4,1,2,0,1,2791,906,215,171,4083
São Luís,334,5,4,3,14,1,1,4288,9192,1784,109,15373
Duque de Caxias,306,4,4,4,3,1,0,2280,9903,1967,43,14193
Natal,381,3,4,0,5,0,0,4995,6095,387,141,11618
São José dos Campos,360,3,4,0,17,0,0,1919,3394,1094,25,6432
Ananindeua,317,3,3,4,9,0,1,1219,9746,259,99,11323
Feira de Santana,425,3,3,1,4,1,0,4281,7253,994,137,12665
Cuiabá,476,4,2,2,11,1,0,552,4742,848,175,6317
Caxias do Sul,242,5,2,1,4,0,0,1379,5859,199,52,7489
Florianópolis,170,5,3,0,7,1,0,4631,2961,286,137,8015
Niterói,452,1,1,0,11,0,0,145,1319,1418,191,3073
Niterói,240,5,3,4,5,0,0,758,8914,644,171,10487
Santo André,348,2,1,1,11,1,1,2928,3757,1571,40,8296
Piracicaba,493,5,3,1,18,0,0,440,9165,842,37,10484
Joinville,280,4,1,1,17,1,0,3213,7763,40,48,11064
Londrina,271,3,1,2,16,0,1,109,6743,1459,64,8375
Montes Claros,97,2,1,4,2,1,1,327,1523,986,84,2920
Betim,291,4,3,4,12,0,1,4138,2753,897,15,7803
Guarulhos,214,3,3,0,19,1,1,2395,1674,559,115,4743
Cuiabá,178,4,2,3,16,0,0,4129,1982,921,116,7148
Ribeirão Preto,313,2,3,1,5,1,0,1205,3763,358,143,5469
Aracaju,383,1,3,2,2,1,1,2280,9190,797,86,12353
Porto Alegre,240,2,1,3,8,0,0,3600,1670,729,153,6152
Contagem,60,5,4,4,1,0,1,47,2877,879,146,3949
Campinas,482,2,2,3,10,1,0,3631,5561,378,194,9764
São Gonçalo,447,1,1,2,6,0,1,4644,5256,1249,81,11230
Duque de Caxias,412,5,1,3,11,0,0,2448,3533,703,134,6818
São Paulo,90,1,3,3,10,1,1,289,4906,732,77,6004
Vitória,368,5,3,3,8,0,1,3932,1512,181,163,5788
Caxias do Sul,169,3,1,0,0,1,1,4244,1382,821,39,6486
Betim,129,5,4,1,4,0,0,1850,6766,225,127,8968
Maringá,149,2,4,4,2,0,0,1705,7680,938,171,10494
Santo André,415,4,1,1,3,0,1,682,3917,119,68,4786
Guarulhos,427,3,3,3,12,1,1,465,1060,1511,51,3087
Curitiba,169,5,3,0,11,1,1,4765,1037,680,39,6521
Caxias do Sul,148,4,2,4,2,1,1,3446,6366,114,179,10105
Feira de Santana,380,4,4,3,11,0,0,961,4757,1757,65,7540
Londrina,89,4,1,0,2,1,1,1558,2519,1486,154,5717
Goiânia,289,2,4,4,19,1,0,1451,8573,1942,139,12105
Florianópolis,24,5,4,2,1,1,1,787,6235,1466,12,8500
Jaboatão dos Guararapes,357,5,2,4,4,1,1,3815,4901,1823,116,10655
Macapá,132,4,3,3,8,0,1,3669,6392,1739,145,11945
Duque de Caxias,310,5,2,2,17,1,0,2456,8011,429,34,10930
Maringá,399,2,1,4,11,0,0,1369,8965,741,59,11134
Londrina,315,2,4,3,18,0,1,3226,3811,890,125,8052
Campo Grande,270,3,1,2,10,0,1,4389,3253,1382,80,9104
Curitiba,243,3,3,3,10,1,0,2190,3770,1783,114,7857
Contagem,37,4,3,3,3,0,1,3523,5764,1002,126,10415
Santo André,284,5,2,2,12,0,0,4969,7398,753,178,13298
Maceió,98,1,1,1,18,1,1,3082,9860,1145,169,14256
Niterói,161,4,3,3,19,0,1,1723,9272,1727,103,12825
Duque de Caxias,351,4,4,4,18,1,1,1593,5150,1099,154,7996
Natal,215,1,3,2,13,0,0,2822,6486,468,32,9808
Niterói,141,4,3,4,14,1,1,3291,8291,97,83,11762
Serra,207,1,4,4,19,1,1,124,691,646,35,1496
Duque de Caxias,344,4,3,0,10,0,1,3967,3891,847,118,8823
Piracicaba,110,2,3,2,18,1,0,2447,5445,280,185,8357
São José dos Campos,103,3,3,2,2,0,1,2936,5551,249,82,8818
Florianópolis,235,5,2,0,16,0,0,3052,987,593,147,4779
Vitória,258,2,3,2,18,0,0,2559,4427,1621,23,8630
Macapá,419,4,3,1,16,1,1,2348,734,215,85,3382
Aracaju,259,4,3,1,3,0,1,1519,809,651,182,3161
Caxias do Sul,485,3,3,0,6,0,0,3141,6073,686,189,10089
Jaboatão dos Guararapes,485,3,4,4,3,0,0,3436,4833,1138,199,9606
Teresina,36,3,3,2,13,0,1,3871,8474,420,43,12808
Piracicaba,47,5,4,3,8,1,1,4073,3310,1644,13,9040
Maringá,148,5,2,2,14,0,1,4135,8731,114,146,13126
Rio de Janeiro,198,4,4,0,14,0,1,640,7746,931,17,9334
Ribeirão Preto,310,5,1,2,10,1,1,4360,2916,459,173,7908
Macapá,463,1,4,2,16,1,0,3795,1967,121,101,5984
Cuiabá,171,2,2,4,17,0,0,1939,1244,1084,158,4425
Contagem,297,1,2,0,18,1,1,4849,6171,489,75,11584
Boa Vista,22,1,4,4,9,1,1,4600,8492,792,141,14025
Osasco,324,5,4,2,15,1,1,4945,1625,1566,156,8292
